Game Number,Player 1 Name,Player 2 Name,Player 1 Moves,Player 2 Moves,Player 1 Parameter,Player 2 Parameter,Player 1 Avg Time,Player 2 Avg Time,Winner,Timestamp
129,RandomPlayer,MiniMax w/ CustomHeuristic,20,20,Zufall,Depth: 9,0,536,MiniMax w/ CustomHeuristic,2024-10-15 18:43:29
130,MiniMax w/ CustomHeuristic,RandomPlayer,17,16,Depth: 0,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:43:29
131,RandomPlayer,MiniMax w/ CustomHeuristic,26,25,Zufall,Depth: 1,0,0,Draw,2024-10-15 18:43:29
132,MiniMax w/ CustomHeuristic,RandomPlayer,23,22,Depth: 2,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:43:29
133,RandomPlayer,MiniMax w/ CustomHeuristic,16,16,Zufall,Depth: 3,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:43:29
134,MiniMax w/ CustomHeuristic,RandomPlayer,26,26,Depth: 4,Zufall,1,0,RandomPlayer,2024-10-15 18:43:29
135,RandomPlayer,MiniMax w/ CustomHeuristic,24,24,Zufall,Depth: 5,0,10,MiniMax w/ CustomHeuristic,2024-10-15 18:43:29
136,MiniMax w/ CustomHeuristic,RandomPlayer,24,23,Depth: 6,Zufall,51,0,MiniMax w/ CustomHeuristic,2024-10-15 18:43:30
137,RandomPlayer,MiniMax w/ CustomHeuristic,23,23,Zufall,Depth: 7,0,20,MiniMax w/ CustomHeuristic,2024-10-15 18:43:31
138,MiniMax w/ CustomHeuristic,RandomPlayer,22,21,Depth: 8,Zufall,430,0,MiniMax w/ CustomHeuristic,2024-10-15 18:43:40
139,RandomPlayer,MiniMax w/ CustomHeuristic,26,26,Zufall,Depth: 9,0,334,MiniMax w/ CustomHeuristic,2024-10-15 18:43:49
140,MiniMax w/ CustomHeuristic,RandomPlayer,22,21,Depth: 0,Zufall,0,0,MiniMax w/ CustomHeuristic,2024-10-15 18:43:49
